0.1147 Pa s    ,0.1147                      
µC                  ,N/A                          
0.023               ,0.000023                     
μD             ,N/A                        
0.0012         ,0.0000012                  
dynamic             ,N/A                   
μC                  ,N/A                   
3.6mPas             ,0.0036                
μc                  ,N/A                   
μC                  ,N/A                   
4.1mPas ,0.0041 
50 mPa.s       ,0.05                        
μ                    ,N/A                           
4.77 × 10−4          ,0.000477                      
1.04 × 10−5               ,N/A                        
85 cP          ,0.085                      
μ              ,N/A                        
μc             ,N/A                         
2.33           ,0.00233                     
"['43.75–57.15', '0.12', '0.10', '0.23', '0.28', '0.50', '0.89']    ","[0.05045, 0.00012, 0.0001, 0.00023, 0.00028, 0.0005, 0.00089] "
ηc             ,N/A                         
17.2 mPa s     ,0.0172                      
['800 mPa s']                 ,[0.8]                     
"['16.6 mPa s', '3.15 mPa s']  ","[0.0166, 0.00315]         "
'16.8 mPa s'                  ,0.0168                    
4.6 mPa s ,0.0046 
6.8 mPa s      ,0.0068                      
1.0 mPa.s      ,0.001                       
"['4.0 mPa.s', '10 mPa.s', '1000 mPa.s']                 ","[0.004, 0.01, 1.0]    "
gas-like            ,N/A                          
can be manipulated by temperature and pressure ,N/A 
Low                 ,N/A                          
Higher than continuous phase    ,N/A                    
Kγ˙n−1              ,N/A                          
μ=μ01+λγ˙2n−1/2     ,N/A                          
μ=μ∞+μ0−μ∞1+λγ˙2n−1/2 ,N/A                        
2                   ,0.002                        
polymeric           ,N/A                          
2                   ,0.002                        
lower for higher MFI,N/A                          
μ0 = μ1 + μ2        ,N/A                          
constant        ,N/A                       
0.1 cP                ,0.0001                     
"['1.8 mPa.s', '2.0 mPa.s'] ","[0.0018, 0.002] "
μ                    ,N/A                 
0.049 kg m−1s−1      ,N/A                 
1.003 × 10−3 kg m−1s−1         ,0.001003                   
dynamic viscosity of the most viscous fluid      ,N/A                        
8 m Pa·S                                         ,0.008                      
10−3 Pa·s      ,0.001                      
low            ,N/A                          
39 cst         ,0.039                      
"['0.0002 kg m−1 s−1', '0.005 kg m−1 s−1']      ","['0.0002', '0.005']    "
ηC                  ,N/A                          
μc                  ,N/A                          
μc                  ,N/A                          
ηD             ,N/A                        
μC             ,N/A                         
μG             ,N/A                         
0.01808        ,0.01808                     
μD             ,N/A                         
μG             ,N/A                         
1.002          ,0.001002                    
μc             ,N/A                           
fixed          ,N/A                           
μd             ,N/A                        
"['8.9 mPa·s', '45.6 mPa·s', '240.5 mPa·s'] ","[0.0089, 0.0456, 0.2405] "
"['89.8 mPa·s', '151.9 mPa·s'] ","[0.0898, 0.1519] "
"['8.9 mPa·s', '1.0 mPa·s'] ","[0.0089, 0.001] "
higher viscosity    ,N/A                          
higher liquid phase viscosity ,N/A                  
"['8.9 mPa·s', '0.89 mPa·s'] ","[0.0089, 0.00089] "
increases           ,N/A                          
higher              ,N/A                          
higher              ,N/A                          
"['8.9', '45.6', '89.8', '151.9', '240.5'] ","[0.0089, 0.0456, 0.0898, 0.1519, 0.2405] "
"['45.6 mPa·s', '240.5 mPa·s'] ","[0.0456, 0.2405]             "
provided in Table 1         ,N/A                          
"['1.0 mPa·s', '2.32 mPa·s', '6.53 mPa·s'] ","[0.001, 0.00232, 0.00653] "
8.9 mPa·s                   ,0.0089                       
"['45.6 mPa·s', '240.5 mPa·s'] ","[0.0456, 0.2405]             "
μc             ,N/A                        
1.01           ,0.00101                    
"['increasing viscosity leads to forming satellite droplets', 'viscoelasticity influences droplet formation'] ","['N/A', 'N/A'] "
slightly viscous    ,N/A                         
35.21               ,0.03521                     
μL             ,N/A                    
low            ,N/A                    
increases      ,N/A                    
μ              ,N/A                    
increases      ,N/A                         
increases      ,N/A                         
5 to 50 mPa s       ,0.0275                       
low (case A)        ,N/A                          
low (case B)        ,N/A                          
high (case C)       ,N/A                          
high (case D)       ,N/A                          
increased           ,N/A                          
2.3 mPa s           ,0.0023                       
0.018 Pa s          ,0.018                        
μc                  ,N/A                          
μc                  ,N/A                          
μc                  ,N/A                          
μc                  ,N/A                          
0.003               ,0.003                        
0.007               ,0.007                        
0.005–0.050         ,0.0275                       
0.68–10.84          ,5.76                         
0.006–0.35          ,0.178                        
1 to 6 mPa s     ,0.0035                       
"['low (case A)', 'high (case B)', 'low (case C)', 'high (case D)'] ","['N/A', 'N/A', 'N/A', 'N/A'] "
increased        ,N/A                          
2.7 mPa s        ,0.0027                       
0.019 Pa s       ,0.019                        
μd               ,N/A                          
μd               ,N/A                          
μd               ,N/A                          
"['0.001', '0.002', '0.001–0.006', '0.001'] ","['0.0005', '0.001', '0.0035', '0.0005'] "
"Measured using a modular compact rheometer (Physica MCR101; Anton Paar Japan K.K., Tokyo, Japan) and a cone plate (CP50-0,5; Anton Paar Japan K.K.) at 27 °C ",N/A 
μc                  ,N/A                          
changed             ,N/A                           
Calculated from the literature ,N/A                 
depends on the concentration of glycerin ,N/A       
"['0.9 mPa⋅s', '90.0 mPa⋅s'] ","[0.0009, 0.09]        "
90.0 mPa⋅s          ,0.09                          
9.0 mPa⋅s           ,0.009                         
μd                  ,N/A                           
9.0 mPa⋅s           ,0.009                         
μd                  ,N/A                           
"['0.9 mPa⋅s', '9.0 mPa⋅s', '90.0 mPa⋅s'] ","[0.0009, 0.009, 0.09] "
"['0.9 mPa⋅s', '9.0 mPa⋅s', '90.0 mPa·s'] ","[0.0009, 0.009, 0.09] "
"['0.9 mPa⋅s', '9.0 mPa⋅s', '90.0 mPa⋅s'] ","[0.0009, 0.009, 0.09] "
"['0.9 mPa⋅s', '9.0 mPa⋅s', '90.0 mPa⋅s'] ","[0.0009, 0.009, 0.09] "
90.0 mPa⋅s          ,0.09                          
['9.0 mPa⋅s']       ,[0.009]                       
90.0 mPa⋅s          ,0.09                          
μ_c ,N/A 
τc ,N/A 
μ_d                 ,N/A                   
increases           ,N/A                   
increases with viscosity ratio ,N/A   
increased           ,N/A                   
varies with different liquids ,N/A       
τd                  ,N/A                   
μd                  ,N/A                   
3.7 mPa s           ,0.0037                
7.7 mPa s           ,0.0077                
ML−1T−1 ,N/A 
μc ,N/A 
increases with monomer concentration ,N/A 
increases with monomer concentration ,N/A 
increased ,N/A 
1.131 ± 0.001        ,0.001131                   
dynamic viscosity noted as ηo          ,N/A                          
20.27 ± 0.01                           ,0.02027                      
1.0 mPa·s              ,0.001               
increasing             ,N/A                 
increasing             ,N/A                 
lower in CO2-MT        ,N/A                 
0.890                  ,0.00089             
"['0.546', '1.099', '1.942', '1.154', '1.574'] ","[0.000546, 0.001099, 0.001942, 0.001154, 0.001574] "
"['9.414 × 10−4', '1.229 × 10−3', '1.431 × 10−3', '1.505 × 10−3', '1.488 × 10−3', '1.479 × 10−3'] ","[0.0009414, 0.001229, 0.001431, 0.001505, 0.001488, 0.001479] "
strong                                   ,N/A                   
increase in viscous shearing force       ,N/A                   
insufficient viscous forces              ,N/A                   
μc                       ,N/A                        
μc                       ,N/A                        
10.58 x 10^-3 Pa.s       ,0.01058                    
7 x 10^-3 Pa s           ,0.007                      
μd                  ,N/A                 
68.6 x 10^-3 Pa.s   ,0.0686              
ηc                  ,N/A                          
"['higher viscosity with Ca=0.08', 'lower viscosity with Ca=0.01'] ","['N/A', 'N/A'] "
10-fold greater than that of the dispersed phase ,N/A 
"['low', 'high']                                                                           ","['N/A', 'N/A']      "
"['λ=0.1', 'λ=0.8']                                                                        ","['N/A', 'N/A']      "
"[{'value': 'higher', 'viscosity ratio λ': '0.8'}, {'value': 'lower', 'viscosity ratio λ': '0.1'}] ","['N/A', 'N/A']      "
"[1.0, 1.34, 9.4]                                                                          ","[0.001, 0.00134, 0.0094] "
μc                   ,N/A                       
24.1 mPa-s           ,0.0241                    
24.1 mPa-s           ,0.0241                    
μd               ,N/A                         
0.8 and 0.1      ,"[0.0008, 0.0001]            "
1 mPa-s          ,0.001                       
μ_c            ,N/A                        
α1μ1           ,N/A                        
68.6 mPa s     ,0.0686                     
μc             ,N/A                        
μvd            ,N/A                        
μ_d             ,N/A                 
α2μ2            ,N/A                 
10.58 mPa s     ,0.01058             
1 mPa s ,0.001 
varies              ,N/A                          
Predicted using the Carreau–Yasuda model ,N/A 
specified by Carreau–Yasuda model ,N/A   
50 mPa s            ,0.05                         
Predicted using the Carreau–Yasuda model ,N/A 
μc                     ,N/A                 
8.9 ⋅ 10−4 ± 1%       ,0.00089             
μd                  ,N/A                          
0.07 ± 1%           ,0.00007                      
'1.0 cP' ,0.001 
'1 cP' ,0.001 
'1 cP' ,0.001 
'1 cP' ,0.001 
'1 cP' ,0.001 
'1 mPa.s' ,0.001 
"'1.0 cP, 1.5 cP, 2.0 cP' ","[0.001, 0.0015, 0.002] "
'1 mPa·s' ,0.001 
"['0.12 Pa.s', '0.15 Pa.s', '0.17 Pa.s', '0.19 Pa.s', '0.2 Pa.s'] ","[0.12, 0.15, 0.17, 0.19, 0.2] "
'1 cP' ,0.001 
'30 mPa.s' ,0.03 
'1 cP' ,0.001 
"['10 cP', '20 cP'] ","[0.001, 0.002] "
10 cP ,0.001 
10 cP ,0.001 
10 cP ,0.001 
"['10 mPa.s', '1000 mPa.s'] ","[0.01, 1] "
10 mPa·s ,0.01 
0.65 Pa.s ,0.65 
10 cP ,0.001 
1 mPa.s ,0.001 
10 cP ,0.001 
"['25% wt glycerol', '50% wt glycerol', '62% wt glycerol'] ",N/A 
,N/A                          
0.92 mPa s          ,0.00092                      
μ                   ,N/A                          
"['0.92', '0.92', '0.92', '0.92', '2.32', '6.53', '10.18'] ","['0.00092', '0.00092', '0.00092', '0.00092', '0.00232', '0.00653', '0.01018'] "
_μ_                 ,N/A                          
,N/A                   
μ                   ,N/A                   
_μ_                 ,N/A                   
1.20 × 10–3 Pa·s         ,0.0012              
μL                       ,N/A                 
1.00 mPa·s               ,0.001               
1.005 × 10–3 Pa·s        ,0.001005            
μL                       ,N/A                 
1.96 × 10–5 Pa·s    ,1.96e-05                     
μL                  ,N/A                          
100 m Pa s     ,0.1                       
η              ,N/A                       
1100 m Pa s    ,1.1                        
0.89 mPa s          ,0.00089                      
Pa s                ,N/A                          
higher for soybean oil ,N/A                      
51 mPa s            ,0.051                        
low relative viscosity ,N/A                      
lower               ,N/A                          
low                 ,N/A                          
high                ,N/A                          
3 mPa s ,0.003 
high ,N/A 
low ,N/A 
effective viscosity (Pa.s)                                        ,N/A                  
αoηo+(1-αw)ηw                                                     ,N/A                  
"['power–law index (n)', 'consistency index (K)']                  ",N/A                  
ηeff                                                              ,N/A                  
0.001 Pa.s                                                        ,0.001                
0.001 Pa.s                                                        ,0.001                
increases with increasing power-law index                         ,N/A                  
0.001 Pa.s                                                        ,0.001                
Effective viscosity increases or decreases depending on whether the fluid is shear thinning or thickening ,N/A                  
0.001Pa.s                                                         ,0.001                
0.001669 Pa.s                                                     ,0.001669             
0.001Pa.s                                                         ,0.001                
increases with increasing K                                       ,N/A                  
0.001 Pa.s                                                        ,0.001                
0.001Pa.s                                                         ,0.001                
0.001 Pa.s                                                        ,0.001                
0.001Pa.s                                                         ,0.001                
0.01 Pa.sn                                                        ,N/A                  
0.001Pa.s                                                         ,0.001                
0.001 Pa.s                                                        ,0.001                
0.001Pa.s                                                         ,0.001                
increasing                                                        ,N/A                  
"μ_d=10, 100, 1000 mPa.s                                                       ","[0.01, 0.1, 1]       "
0.01 Pa.sn                                                                    ,0.01                 
Higher inside the droplet for shear thickening liquids compared to shear thinning liquids ,N/A                  
"['0.80', '1.10']                                                              ","[0.8, 1.1]           "
"['increases with increasing K for shear thickening liquids', 'variation noted with K for shear thinning liquids'] ",N/A                  
0.01 Pa.sn                                                                    ,0.01                 
0.001Pa.s                                                                     ,0.001                
K=0.01Pa.sn                                                                   ,0.01                 
μc             ,N/A                         
μW             ,N/A                         
decrease       ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
"['3.39', '5.47', '10.21', '3.57', '5.84', '10.50', '4.03', '6.45', '10.94', '1.21', '1.38', '1.54', '1.29', '1.40', '1.54', '1.36', '1.47', '1.68', '3.36', '5.38', '10.08', '3.55', '5.86', '10.59', '4.00', '6.40', '10.97'] ","[0.00339, 0.00547, 0.01021, 0.00357, 0.00584, 0.01050, 0.00403, 0.00645, 0.01094, 0.00121, 0.00138, 0.00154, 0.00129, 0.00140, 0.00154, 0.00136, 0.00147, 0.00168, 0.00336, 0.00538, 0.01008, 0.00355, 0.00586, 0.01059, 0.00400, 0.00640, 0.01097] "
μd                                                                                                     ,N/A                   
high                                                                                                   ,N/A                   
increases with the increase in the addition amount of SiO2 nanoparticles                               ,N/A                   
larger                                                                                                ,N/A                   
increasing                                                                                            ,N/A                   
"['0.5 mL', '0.8 mL', '1.0 mL']                                                                         ",N/A                   
increases                                                                                              ,N/A                   
μd                                                                                                     ,N/A                   
higher viscosity                                                                                       ,N/A                   
μd                                                                                                     ,N/A                   
μd                                                                                                     ,N/A                   
1 cP                                                                          ,0.001                       
non-Newtonian                                                                 ,N/A                         
very different                                                                ,N/A                         
μ                                                                             ,N/A                         
μc                                                                            ,N/A                         
evaluated at the inlet of the junction                                        ,N/A                         
"constant, variation                                                           ",N/A                         
"[18.07, 0.877, 1.009, '861.1γ˙−0.62', '1152.6γ˙−0.66']                        ","[0.01807, 0.000877, 0.001009]"
5 cP                                        ,0.005               
"['larger extensional viscosities', 'low viscosity'] ","['N/A', 'N/A']     "
Newtonian                                   ,N/A                 
20 cSt                                      ,N/A                 
μ                                           ,N/A                 
μd                                          ,N/A                 
varies with shear rate                      ,N/A                 
continuous phase viscosity    ,N/A                 
37 mPa.s                      ,0.037               
μc                            ,N/A                 
μc                            ,N/A                 
μc                            ,N/A                 
2.8 mPa.s      ,0.0028              
more viscous than water                 ,N/A                 
low                                     ,N/A                 
"['high', 'affects critical Ca number']  ","['N/A', 'N/A']      "
varied                                  ,N/A                 
large                                   ,N/A                 
increasing                              ,N/A                 
"0.0127, 0.0086                          ","0.0127, 0.0086      "
low                                     ,N/A                 
more viscous                            ,N/A                 
varied                                  ,N/A                 
increases                               ,N/A                 
λ                                       ,N/A                 
λ                                       ,N/A                 
low to high                                               ,N/A                 
has more profound impact than continuous phase            ,N/A                 
varied                                                    ,N/A                 
viscosity ratio λ                                         ,N/A                 
0.0086                                                    ,0.0086              
{'viscosity ratio': '<0.0086'}                            ,0.0043              
less viscous                                              ,N/A                 
fixed                                                     ,N/A                 
comparable to the continuous phase                        ,N/A                 
viscosity ratio λ                                         ,N/A                 
Pa·s                                                                                                   ,N/A                       
constant                                                                                               ,N/A                       
η1                                                                                                     ,N/A                       
effective viscosity at the flow conditions                                                             ,N/A                       
6.8 × 10−2 Pa·s                                                                                        ,0.068                     
ηc                                                                                                     ,N/A                       
0.068 Pa·s                                                                                             ,0.068                     
increases with the increasing concentration and molecular weight                                       ,N/A                       
increases                                                                                              ,N/A                       
different viscosities                                                                                  ,N/A                       
different viscosities                                                                                  ,N/A                       
"['0.0354 Pa·s', '0.068 Pa·s', '0.0998 Pa·s']                                                            ","[0.0354, 0.068, 0.0998]   "
"['35.40 ± 0.00', '68.10 ± 0.67', '98.80 ± 0.39']                                                        ","['N/A', 'N/A', 'N/A']     "
shear-thinning ,N/A                      
η2             ,N/A                      
computed via Eq. [(9)](https://www.sciencedirect.com/science/article/pii/S0009250917305407#e0045) ,N/A    
9.3 × 10−4 Pa·s,0.00093                  
ηd             ,N/A                      
increases with SCMC concentration ,N/A    
_η d_          ,N/A                      
ηd             ,N/A                      
increases with the increasing concentration and molecular weight ,N/A    
higher viscosity ,N/A                   
increased with SCMC concentration ,N/A   
varied         ,N/A                      
dynamic viscosity                                                ,N/A                  
viscosity of liquid                                              ,N/A                  
increasing                                                       ,N/A                  
low                                                              ,N/A                  
"[0.11, 1.15]                                                     ","[0.11, 1.15]         "
η                                                                ,N/A                  
similar coefficients          ,N/A                 
η                             ,N/A                 
0.12                          ,0.12                
different viscosities                                                         ,N/A                 
effective properties used                                                     ,N/A                 
"depends on shear rate, non-Newtonian                                          ",N/A                 
measured rheogram                                                             ,N/A                 
applies non-Newtonian viscosity from Eq. [3]                                  ,N/A                 
"['0.0015 kg/m s (constant)', 'variable (according to Eq. [3](https://link.springer.com/article/10.1007/s10404-009-0487-5#Equ3))'] ","['0.0015', 'N/A']   "
"['1.5 cP', '1.0 cP']                                                          ","['0.0015', '0.001'] "
non-Newtonian                                                                 ,N/A                 
effective properties used ,N/A 
"depends on shear rate, non-Newtonian ",N/A 
0.026 kg/m s ,0.026   
20 cP                                                ,0.02                 
Decreases with shear rate                            ,N/A                  
apparent viscosity from experimental data            ,N/A                  
μc                                                   ,N/A                  
0.2% to 0.5% in weight                               ,N/A                  
higher values compared to W and W+T                  ,N/A                  
low                                                  ,N/A                  
"['18.07 ± 0.078', '0.877 ± 0.002', '1.009 ± 0.009', '1152.6', '2562.4', '10530.2'] ","[18.07, 0.877, 1.009, 1152.6, 2562.4, 10530.2] "
viscosity ratio                                                               ,N/A                   
"high, pseudoplastic                                                           ",N/A                   
measured at room temperature (23 °C) by using appropriate Cannon-Fenske Viscometers ,N/A                   
μd                                                                            ,N/A                   
variable with the applied shear rate                                          ,N/A                   
large                                                                         ,N/A                   
high                                                                          ,N/A                   
"['0.049', '0.056', '0.2 XG _+_ T', '1.1 < _λ_ < 48.5', '2.8 < _λ_ < 109.2', '7.1 < _λ_ < 472.5'] ","['0.049', '0.056', 'N/A', '24.8', '56.0', '239.8'] "
νc                     ,N/A                 
0.1667                 ,0.1667              
1.95×10-3Pas           ,0.00195             
νc                     ,N/A                 
νd                   ,N/A                 
0.1667               ,0.1667              
6.71×10-3Pas         ,0.00671             
0.04                 ,0.04                
